CODE,Date,Hour,TMP,WSP,WDR
KBED,5/7/2016,13,50,7,50
KBED,5/7/2016,14,52,7,30
KBED,5/7/2016,15,52,7,50
KBED,5/7/2016,16,52,8,30
KBED,5/7/2016,17,52,8,50
KBED,5/7/2016,18,51,5,20
KBED,5/7/2016,19,51,7,60
KBED,5/7/2016,20,50,5,60
KBED,5/7/2016,21,49,7,60
KBED,5/7/2016,22,48,5,90
KBED,5/7/2016,23,48,5,90
KORH,5/7/2016,0,43,12,50
KORH,5/7/2016,1,43,8,60
KORH,5/7/2016,2,43,8,50
KORH,5/7/2016,3,43,7,40
KORH,5/7/2016,4,43,7,40
KORH,5/7/2016,5,43,8,50
KORH,5/7/2016,6,43,8,50
KORH,5/7/2016,7,43,8,40
KORH,5/7/2016,8,44,10,60
KORH,5/7/2016,9,44,8,40
KORH,5/7/2016,10,45,9,40
KORH,5/7/2016,11,45,10,40
KORH,5/7/2016,12,46,10,70
KORH,5/7/2016,13,47,12,70
KORH,5/7/2016,14,47,9,70
KORH,5/7/2016,15,48,7,60
KORH,5/7/2016,16,48,8,40
KORH,5/7/2016,17,49,6,50
KORH,5/7/2016,18,49,5,30
KORH,5/7/2016,19,49,0,0
KORH,5/7/2016,20,49,5,70
KORH,5/7/2016,21,49,5,60
KORH,5/7/2016,22,48,6,80
KORH,5/7/2016,23,49,0,0
KPSM,5/7/2016,0,47,5,220
KPSM,5/7/2016,1,47,5,50
KPSM,5/7/2016,2,47,7,30
KPSM,5/7/2016,3,46,9,50
KPSM,5/7/2016,4,46,3,360
KPSM,5/7/2016,5,47,6,20
KPSM,5/7/2016,6,46,6,40
KPSM,5/7/2016,7,47,10,30
KPSM,5/7/2016,8,47,8,60
KPSM,5/7/2016,9,46,8,40
KPSM,5/7/2016,10,46,8,50
KPSM,5/7/2016,11,48,10,30
KPSM,5/7/2016,12,48,7,70
KPSM,5/7/2016,13,49,10,70
KPSM,5/7/2016,14,48,7,60
KPSM,5/7/2016,15,48,7,60
KPSM,5/7/2016,16,49,7,40
KPSM,5/7/2016,17,50,7,60
KPSM,5/7/2016,18,48,7,50
KPSM,5/7/2016,19,46,6,60
KPSM,5/7/2016,20,46,5,70
KPSM,5/7/2016,21,46,2,0
KPSM,5/7/2016,22,46,2,50
KPSM,5/7/2016,23,46,2,70
KPWM,5/7/2016,0,48,0,0
KPWM,5/7/2016,1,45,0,0
KPWM,5/7/2016,2,47,0,0
KPWM,5/7/2016,3,46,6,30
KPWM,5/7/2016,4,46,7,20
KPWM,5/7/2016,5,46,6,10
KPWM,5/7/2016,6,47,8,40
KPWM,5/7/2016,7,47,10,50
KPWM,5/7/2016,8,48,7,40
KPWM,5/7/2016,9,49,8,50
KPWM,5/7/2016,10,49,8,40
KPWM,5/7/2016,11,49,7,90
KPWM,5/7/2016,12,48,13,90
KPWM,5/7/2016,13,48,14,100
KPWM,5/7/2016,14,48,14,90
KPWM,5/7/2016,15,47,9,100
KPWM,5/7/2016,16,48,8,100
KPWM,5/7/2016,17,48,9,100
KPWM,5/7/2016,18,46,10,110
KPWM,5/7/2016,19,47,6,110
KPWM,5/7/2016,20,45,6,110
KPWM,5/7/2016,21,45,7,60
KPWM,5/7/2016,22,45,6,100
KPWM,5/7/2016,23,45,5,100
KBED,5/8/2016,0,48,0,0
KBED,5/8/2016,1,47,0,0
KBED,5/8/2016,2,47,0,0
KBED,5/8/2016,3,48,0,0
